,secID,ticker,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
115,000001.XSHE,1,XSHE,2015/6/25,15.12,15.12,15.58,15.63,14.76,14.87,207916488,3179774393,93449,0.0176,0.787712216,1.76E+11,2.13E+11,-0.0165,10.4417,9.4497,1.5564,1,15.294
116,000001.XSHE,1,XSHE,2015/6/26,14.87,14.87,14.64,14.95,13.38,13.77,255532175,3623880485,118328,0.0216,0.787712216,1.63E+11,1.97E+11,-0.074,9.6693,8.7507,1.4413,1,14.182
117,000001.XSHE,1,XSHE,2015/6/29,13.77,13.77,14.08,14.15,12.75,13.56,261294320,3570319306,111088,0.0221,0.787712216,1.60E+11,1.94E+11,-0.0153,9.5218,8.6172,1.4193,1,13.664
118,000001.XSHE,1,XSHE,2015/6/30,13.56,13.56,13.54,14.54,13.38,14.54,254810313,3572978441,107131,0.0216,0.787712216,1.72E+11,2.08E+11,0.0723,9.7606,8.9792,1.3789,1,14.022
119,000001.XSHE,1,XSHE,2015/7/1,14.54,14.54,14.35,14.59,13.74,13.92,183540616,2629096356,82007,0.0155,0.787712216,1.64E+11,1.99E+11,-0.0426,9.3444,8.5963,1.3201,1,14.324
120,000001.XSHE,1,XSHE,2015/7/2,13.92,13.92,13.9,14.31,13.38,13.75,198282626,2762337228,76253,0.0168,0.787712216,1.62E+11,1.97E+11,-0.0122,9.2303,8.4913,1.304,1,13.931
121,000001.XSHE,1,XSHE,2015/7/3,13.75,13.75,13.98,13.99,12.79,13.07,259745820,3473335630,92667,0.022,0.787712216,1.54E+11,1.87E+11,-0.0495,8.7738,8.0714,1.2395,1,13.372
122,000001.XSHE,1,XSHE,2015/7/6,13.07,13.07,14.3,14.31,13.29,13.88,338152667,4660186339,114458,0.0286,0.787712216,1.64E+11,1.99E+11,0.062,9.3176,8.5716,1.3163,1,13.781
123,000001.XSHE,1,XSHE,2015/7/7,13.88,13.88,13.66,14.65,13.21,14.65,480831189,6808003723,164905,0.0407,0.787712216,1.73E+11,2.10E+11,0.0555,9.8345,9.0471,1.3893,1,14.159
124,000001.XSHE,1,XSHE,2015/7/8,14.65,14.65,13.81,14,13.19,13.19,499669694,6762103351,148965,0.0423,0.787712216,1.56E+11,1.89E+11,-0.0997,8.8544,8.1455,1.2509,1,13.533
125,000001.XSHE,1,XSHE,2015/7/9,13.19,13.19,13.19,14.44,12.11,14.26,434435542,5904698617,185810,0.0368,0.787712216,1.68E+11,2.04E+11,0.0811,9.5727,8.8063,1.3523,1,13.592
126,000001.XSHE,1,XSHE,2015/7/10,14.26,14.26,13.85,15.36,13.61,14.86,465098778,6891581207,226152,0.0394,0.787712216,1.75E+11,2.13E+11,0.0421,9.9755,9.1768,1.4092,1,14.817
127,000001.XSHE,1,XSHE,2015/7/13,14.86,14.86,14.4,14.89,14.12,14.44,326819605,4737400471,166713,0.0277,0.787712216,1.70E+11,2.07E+11,-0.0283,9.6935,8.9174,1.3694,1,14.495
128,000001.XSHE,1,XSHE,2015/7/14,14.44,14.44,14.2,14.38,13.51,13.87,258022955,3608580676,132988,0.0219,0.787712216,1.64E+11,1.98E+11,-0.0395,9.3109,8.5654,1.3154,1,13.986
129,000001.XSHE,1,XSHE,2015/7/15,13.87,13.87,13.66,13.96,13.4,13.58,162642318,2225696913,77977,0.0138,0.787712216,1.60E+11,1.94E+11,-0.0209,9.1162,8.3864,1.2879,1,13.685
130,000001.XSHE,1,XSHE,2015/7/16,13.58,13.58,13.6,13.76,13.42,13.6,138893985,1884221625,55387,0.0118,0.787712216,1.61E+11,1.95E+11,0.0015,9.1296,8.3987,1.2898,1,13.566
131,000001.XSHE,1,XSHE,2015/7/17,13.6,13.6,13.66,13.94,13.53,13.82,168063766,2304999342,62288,0.0142,0.787712216,1.63E+11,1.98E+11,0.0162,9.2773,8.5346,1.3106,1,13.715
132,000001.XSHE,1,XSHE,2015/7/20,13.82,13.82,13.8,13.8,13.53,13.6,135868308,1852316441,59646,0.0115,0.787712216,1.61E+11,1.95E+11,-0.0159,9.1296,8.3987,1.2898,1,13.633
133,000001.XSHE,1,XSHE,2015/7/21,13.6,13.6,13.51,13.64,13.38,13.57,113164352,1529148267,51903,0.0096,0.787712216,1.60E+11,1.94E+11,-0.0022,9.1095,8.3802,1.2869,1,13.513
134,000001.XSHE,1,XSHE,2015/7/22,13.57,13.57,13.49,13.54,13.34,13.52,113809062,1528783831,48025,0.0096,0.787712216,1.60E+11,1.93E+11,-0.0037,9.0759,8.3493,1.2822,1,13.433
135,000001.XSHE,1,XSHE,2015/7/23,13.52,13.52,13.46,13.75,13.41,13.67,148369614,2022035341,56488,0.0126,0.787712216,1.61E+11,1.96E+11,0.0111,9.1766,8.4419,1.2964,1,13.628
136,000001.XSHE,1,XSHE,2015/7/24,13.67,13.67,13.68,13.7,13.32,13.38,133930997,1815658962,56037,0.0113,0.787712216,1.58E+11,1.91E+11,-0.0212,8.9819,8.2628,1.2689,1,13.557
137,000001.XSHE,1,XSHE,2015/7/27,13.38,13.38,13.25,13.32,12.04,12.44,178785918,2289450165,86632,0.0151,0.787712216,1.47E+11,1.78E+11,-0.0703,8.3509,7.6823,1.1797,1,12.806
138,000001.XSHE,1,XSHE,2015/7/28,12.44,12.44,12.19,12.76,12.15,12.62,201120081,2509971532,62063,0.017,0.787712216,1.49E+11,1.81E+11,0.0145,8.4718,7.7935,1.1968,1,12.48
139,000001.XSHE,1,XSHE,2015/7/29,12.62,12.62,12.6,12.62,12.38,12.6,97168292,1210759096,40405,0.0082,0.787712216,1.49E+11,1.80E+11,-0.0016,8.4583,7.7812,1.1949,1,12.46
140,000001.XSHE,1,XSHE,2015/7/30,12.6,12.6,12.61,12.64,12.23,12.26,77027894,962337460.8,36451,0.0065,0.787712216,1.45E+11,1.75E+11,-0.027,8.2301,7.5712,1.1627,1,12.493
